"COD_DUG","DESC_DUG","NAZIONALE","LOCALE","LOCALE_NAZIONALE_ENTRAMBI","AMBITO","NAZ_SIN_1","NAZ_SIN_2","NAZ_SIN_3","NAZ_SIN_4","NAZ_SIN_5","NUMERO_LOC_COM","LABEL","NOME","CODICE","IRI","IRI_SHORT"
87,"PASSERELLA","","PASSERELLA","PASSERELLA","Locale","","","","","",6,"FIRENZE (48017)","FIRENZE","048017","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/048017-(1861-03-17)","​048017-(1861-03-17)"
87,"PASSERELLA","","PASSERELLA","PASSERELLA","Locale","","","","","",7,"MILANO (15146)","MILANO","015146","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/015146-(1861-03-17)","​015146-(1861-03-17)"
87,"PASSERELLA","","PASSERELLA","PASSERELLA","Locale","","","","","",8,"TORINO (1272)","TORINO","001272","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/001272-(1861-03-17)","​001272-(1861-03-17)"
128,"PASSETTO","","PASSETTO","PASSETTO","Locale","","","","","",1,"ROMA (58091)","ROMA","058091","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/058091-(1871-01-15)","​058091-(1871-01-15)"
260,"PASSO","","PASSO","PASSO","Locale","","","","","",1,"GENOVA (10025)","GENOVA","010025","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/010025-(1874-01-01)","​010025-(1874-01-01)"
260,"PASSO","","PASSO","PASSO","Locale","","","","","",2,"CORINALDO (42015)","CORINALDO","042015","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/042015-(1861-03-17)","​042015-(1861-03-17)"
260,"PASSO","","PASSO","PASSO","Locale","","","","","",3,"ALDINO (21001)","ALDINO","021001","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/021001-(1948-03-14)","​021001-(1948-03-14)"
260,"PASSO","","PASSO","PASSO","Locale","","","","","",4,"FIRENZE (48017)","FIRENZE","048017","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/048017-(1861-03-17)","​048017-(1861-03-17)"
462,"PIAGGIA","","PIAGGIA","PIAGGIA","Locale","","","","","",1,"MACERATA (43023)","MACERATA","043023","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/043023-(1861-03-17)","​043023-(1861-03-17)"
462,"PIAGGIA","","PIAGGIA","PIAGGIA","Locale","","","","","",2,"MONTE SAN SAVINO (51025)","MONTE SAN SAVINO","051025","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/051025-(1861-03-17)","​051025-(1861-03-17)"
462,"PIAGGIA","","PIAGGIA","PIAGGIA","Locale","","","","","",3,"PERUGIA (54039)","PERUGIA","054039","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/054039-(1861-03-17)","​054039-(1861-03-17)"
169,"PIAZZALETTO","","PIAZZALETTO","PIAZZALETTO","Locale","","","","","",1,"FIRENZE (48017)","FIRENZE","048017","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/048017-(1861-03-17)","​048017-(1861-03-17)"
469,"PIAZZOLA","","PIAZZOLA","PIAZZOLA","Locale","","","","","",1,"TORINO (1272)","TORINO","001272","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/001272-(1861-03-17)","​001272-(1861-03-17)"
142,"PORTA","","PORTA","PORTA","Locale","","","","","",1,"BELLUNO (25006)","BELLUNO","025006","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/025006-(1866-11-20)","​025006-(1866-11-20)"
142,"PORTA","","PORTA","PORTA","Locale","","","","","",2,"MACERATA (43023)","MACERATA","043023","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/043023-(1861-03-17)","​043023-(1861-03-17)"
142,"PORTA","","PORTA","PORTA","Locale","","","","","",3,"EBOLI (65050)","EBOLI","065050","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/065050-(1861-03-17)","​065050-(1861-03-17)"
142,"PORTA","","PORTA","PORTA","Locale","","","","","",4,"PALERMO (82053)","PALERMO","082053","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/082053-(1861-03-17)","​082053-(1861-03-17)"
990,"PORTEGO","","PORTEGO","PORTEGO","Locale","","","","","",1,"SCHIO (24100)","SCHIO","024100","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/024100-(1866-11-20)","​024100-(1866-11-20)"
476,"PORTICI","","PORTICI","PORTICI","Locale","","","","","",1,"TODI (54052)","TODI","054052","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/054052-(1861-03-17)","​054052-(1861-03-17)"
476,"PORTICI","","PORTICI","PORTICI","Locale","","","","","",2,"BRESSANONE (21011)","BRESSANONE","021011","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/021011-(1927-01-12)","​021011-(1927-01-12)"
476,"PORTICI","","PORTICI","PORTICI","Locale","","","","","",3,"ASTI (5005)","ASTI","005005","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/005005-(1935-04-15)","​005005-(1935-04-15)"
476,"PORTICI","","PORTICI","PORTICI","Locale","","","","","",4,"DARFO BOARIO TERME (17065)","DARFO BOARIO TERME","017065","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/017065-(1861-03-17)","​017065-(1861-03-17)"
476,"PORTICI","","PORTICI","PORTICI","Locale","","","","","",5,"CARAVAGGIO (16053)","CARAVAGGIO","016053","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/016053-(1861-03-17)","​016053-(1861-03-17)"
154,"RAMO","","RAMO","RAMO","Locale","","","","","",1,"VENEZIA (27042)","VENEZIA","027042","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/027042-(1866-11-20)","​027042-(1866-11-20)"
160,"RECINTO","","RECINTO","RECINTO","Locale","","","","","",1,"MATERA (77014)","MATERA","077014","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/077014-(1927-01-12)","​077014-(1927-01-12)"
160,"RECINTO","","RECINTO","RECINTO","Locale","","","","","",2,"ASTI (5005)","ASTI","005005","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/005005-(1935-04-15)","​005005-(1935-04-15)"
209,"RECINTO PRIVATO","","RECINTO PRIVATO","RECINTO PRIVATO","Locale","","","","","",1,"MATERA (77014)","MATERA","077014","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/077014-(1927-01-12)","​077014-(1927-01-12)"
264,"RIPA","","RIPA","RIPA","Locale","","","","","",1,"SAN SIRO (13248)","SAN SIRO","013248","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/013248-(2003-01-01)","​013248-(2003-01-01)"
164,"RIVA","","RIVA","RIVA","Locale","","","","","",1,"DOLO (27012)","DOLO","027012","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/027012-(1866-11-20)","​027012-(1866-11-20)"
164,"RIVA","","RIVA","RIVA","Locale","","","","","",2,"GORIZIA (31007)","GORIZIA","031007","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/031007-(1927-01-12)","​031007-(1927-01-12)"
164,"RIVA","","RIVA","RIVA","Locale","","","","","",3,"SIRACUSA (89017)","SIRACUSA","089017","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/089017-(1861-03-17)","​089017-(1861-03-17)"
166,"RIVIERA","","RIVIERA","RIVIERA","Locale","","","","","",1,"CONCORDIA SAGITTARIA (27011)","CONCORDIA SAGITTARIA","027011","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/027011-(1866-11-20)","​027011-(1866-11-20)"
166,"RIVIERA","","RIVIERA","RIVIERA","Locale","","","","","",2,"PADOVA (28060)","PADOVA","028060","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/028060-(1866-11-20)","​028060-(1866-11-20)"
166,"RIVIERA","","RIVIERA","RIVIERA","Locale","","","","","",3,"DOLO (27012)","DOLO","027012","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/027012-(1866-11-20)","​027012-(1866-11-20)"
166,"RIVIERA","","RIVIERA","RIVIERA","Locale","","","","","",4,"ROVIGO (29041)","ROVIGO","029041","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/029041-(1866-11-20)","​029041-(1866-11-20)"
166,"RIVIERA","","RIVIERA","RIVIERA","Locale","","","","","",5,"MOTTA DI LIVENZA (26049)","MOTTA DI LIVENZA","026049","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/026049-(1866-11-20)","​026049-(1866-11-20)"
166,"RIVIERA","","RIVIERA","RIVIERA","Locale","","","","","",6,"BADIA POLESINE (29004)","BADIA POLESINE","029004","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/029004-(1866-11-20)","​029004-(1866-11-20)"
166,"RIVIERA","","RIVIERA","RIVIERA","Locale","","","","","",7,"ADRIA (29001)","ADRIA","029001","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/029001-(1866-11-20)","​029001-(1866-11-20)"
170,"RUA","","RUA","RUA","Locale","","","","","",1,"PETTORANO SUL GIZIO (66071)","PETTORANO SUL GIZIO","066071","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/066071-(1861-03-17)","​066071-(1861-03-17)"
170,"RUA","","RUA","RUA","Locale","","","","","",2,"RAGUSA (88009)","RAGUSA","088009","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/088009-(1927-01-12)","​088009-(1927-01-12)"
500,"RUGA","","RUGA","RUGA","Locale","","","","","",1,"MONTEPULCIANO (52015)","MONTEPULCIANO","052015","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/052015-(1861-03-17)","​052015-(1861-03-17)"
226,"SAIA","","SAIA","SAIA","Locale","","","","","",1,"BARCELLONA POZZO DI GOTTO (83005)","BARCELLONA POZZO DI GOTTO","083005","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/083005-(1861-03-17)","​083005-(1861-03-17)"
178,"SCALA","","SCALA","SCALA","Locale","","","","","",1,"CAMPAGNATICO (53002)","CAMPAGNATICO","053002","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/053002-(1861-03-17)","​053002-(1861-03-17)"
178,"SCALA","","SCALA","SCALA","Locale","","","","","",2,"TRIESTE (32006)","TRIESTE","032006","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/032006-(1923-02-08)","​032006-(1923-02-08)"
178,"SCALA","","SCALA","SCALA","Locale","","","","","",3,"ROSIGNANO MARITTIMO (49017)","ROSIGNANO MARITTIMO","049017","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/049017-(1925-12-11)","​049017-(1925-12-11)"
178,"SCALA","","SCALA","SCALA","Locale","","","","","",4,"ROMA (58091)","ROMA","058091","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/058091-(1871-01-15)","​058091-(1871-01-15)"
178,"SCALA","","SCALA","SCALA","Locale","","","","","",5,"MONTE ARGENTARIO (53016)","MONTE ARGENTARIO","053016","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/053016-(1861-03-17)","​053016-(1861-03-17)"
238,"VIADOTTO","","VIADOTTO","VIADOTTO","Locale","","","","","",6,"PISA (50026)","PISA","050026","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/050026-(1861-03-17)","​050026-(1861-03-17)"
978,"VIAZZA","","VIAZZA","VIAZZA","Locale","","","","","",1,"NOVELLARA (35028)","NOVELLARA","035028","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/035028-(1861-03-17)","​035028-(1861-03-17)"
978,"VIAZZA","","VIAZZA","VIAZZA","Locale","","","","","",2,"MODENA (36023)","MODENA","036023","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/036023-(1861-03-17)","​036023-(1861-03-17)"
978,"VIAZZA","","VIAZZA","VIAZZA","Locale","","","","","",3,"RAVENNA (39014)","RAVENNA","039014","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/039014-(1861-03-17)","​039014-(1861-03-17)"
979,"VIAZZOLA","","VIAZZOLA","VIAZZOLA","Locale","","","","","",1,"NOVELLARA (35028)","NOVELLARA","035028","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/035028-(1861-03-17)","​035028-(1861-03-17)"
668,"VICO STORTO","","VICO STORTO","VICO STORTO","Locale","","","","","",1,"STIGLIANO (77027)","STIGLIANO","077027","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/077027-(1927-01-12)","​077027-(1927-01-12)"
668,"VICO STORTO","","VICO STORTO","VICO STORTO","Locale","","","","","",2,"CASTELMEZZANO (76024)","CASTELMEZZANO","076024","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/076024-(1861-03-17)","​076024-(1861-03-17)"
668,"VICO STORTO","","VICO STORTO","VICO STORTO","Locale","","","","","",3,"LECCE (75035)","LECCE","075035","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/075035-(1861-03-17)","​075035-(1861-03-17)"
668,"VICO STORTO","","VICO STORTO","VICO STORTO","Locale","","","","","",4,"LAVELLO (76043)","LAVELLO","076043","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/076043-(1861-03-17)","​076043-(1861-03-17)"
672,"VICOLETTO CIECO","","VICOLETTO CIECO","VICOLETTO CIECO","Locale","","","","","",1,"VERONA (23091)","VERONA","023091","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/023091-(1927-02-16)","​023091-(1927-02-16)"
570,"VICOLO ROTTO","","VICOLO ROTTO","VICOLO ROTTO","Locale","","","","","",1,"GIOVINAZZO (72022)","GIOVINAZZO","072022","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/072022-(1861-03-17)","​072022-(1861-03-17)"
271,"VICOLOZZO","","VICOLOZZO","VICOLOZZO","Locale","","","","","",1,"FRASCATI (58039)","FRASCATI","058039","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/058039-(1871-01-15)","​058039-(1871-01-15)"
304,"VIUCOLA","","VIUCOLA","VIUCOLA","Locale","","","","","",1,"AREZZO (51002)","AREZZO","051002","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/051002-(1861-03-17)","​051002-(1861-03-17)"
254,"VIUZZO","","VIUZZO","VIUZZO","Locale","","","","","",1,"FIRENZE (48017)","FIRENZE","048017","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/048017-(1861-03-17)","​048017-(1861-03-17)"
254,"VIUZZO","","VIUZZO","VIUZZO","Locale","","","","","",2,"LASTRA A SIGNA (48024)","LASTRA A SIGNA","048024","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/048024-(1861-03-17)","​048024-(1861-03-17)"
