"COD_DUG","DESC_DUG","NAZIONALE","LOCALE","LOCALE_NAZIONALE_ENTRAMBI","AMBITO","NAZ_SIN_1","NAZ_SIN_2","NAZ_SIN_3","NAZ_SIN_4","NAZ_SIN_5","NUMERO_LOC_COM","LABEL","NOME","CODICE","IRI","IRI_SHORT"
423,"LUNGOLAGO","LUNGOLAGO","","LUNGOLAGO","Nazionale","LUNGARGINE","","","","",,"","","","",""
102,"LUNGOMARE","LUNGOMARE","","LUNGOMARE","Nazionale","","","","","",,"","","","",""
431,"LUNGOPARCO","LUNGOPARCO","","LUNGOPARCO","Nazionale","","","","","",,"","","","",""
444,"LUNGOTORRENTE","LUNGOTORRENTE","","LUNGOTORRENTE","Nazionale","LUNGARGINE","","","","",,"","","","",""
116,"MOLO","MOLO","","MOLO","Nazionale","","","","","",,"","","","",""
103,"PARCHEGGIO","PARCHEGGIO","","PARCHEGGIO","Nazionale","","","","","",,"","","","",""
124,"PASSAGGIO","PASSAGGIO","","PASSAGGIO","Nazionale","PASSAGGIO PEDONALE","","","","",,"","","","",""
126,"PASSEGGIATA","PASSEGGIATA","PASSEGGIATA","PASSEGGIATA","Nazionale","","","","","",,"","","","",""
139,"PERCORSO CICLABILE","PERCORSO CICLABILE","","PERCORSO CICLABILE","Nazionale","PERCORSO CICLOPEDONALE","PISTA CICLABILE","","","",,"","","","",""
41,"PERCORSO PEDONALE","PERCORSO PEDONALE","","PERCORSO PEDONALE","Nazionale","PERCORSO CICLOPEDONALE","","","","",,"","","","",""
132,"PIAZZALE","PIAZZALE","","PIAZZALE","Nazionale","PIAZZA","SPIAZZO","","","",,"","","","",""
134,"PIAZZETTA","PIAZZETTA","","PIAZZETTA","Nazionale","PIAZZA","SPIAZZO","","","",,"","","","",""
11,"PISTA CICLABILE","PISTA CICLABILE","","PISTA CICLABILE","Nazionale","PERCORSO CICLOPEDONALE","PERCORSO CICLABILE","","","",,"","","","",""
138,"PONTE","PONTE","","PONTE","Nazionale","","","","","",,"","","","",""
266,"RACCORDO","RACCORDO","","RACCORDO","Nazionale","CIRCONVALLAZIONE","TANGENZIALE","","","",,"","","","",""
156,"RAMPA","RAMPA","","RAMPA","Nazionale","","","","","",,"","","","",""
496,"RONCO","RONCO","RONCO","RONCO","Nazionale","","","","","",,"","","","",""
85,"ROTATORIA","ROTATORIA","","ROTATORIA","Nazionale","ROTONDA","","","","",,"","","","",""
168,"ROTONDA","ROTONDA","","ROTONDA","Nazionale","ROTATORIA","","","","",,"","","","",""
172,"SALITA","SALITA","","SALITA","Nazionale","","","","","",,"","","","",""
190,"SCALINATA","SCALINATA","","SCALINATA","Nazionale","GRADINATA","","","","",,"","","","",""
524,"SCESA","SCESA","","SCESA","Nazionale","CALATA","DISCESA","","","",,"","","","",""
196,"SENTIERO","SENTIERO","","SENTIERO","Nazionale","VIOTTOLO","","","","",,"","","","",""
531,"SOTTOPASSO","SOTTOPASSO","","SOTTOPASSO","Nazionale","","","","","",,"","","","",""
293,"SOVRAPPASSO","SOVRAPPASSO","","SOVRAPPASSO","Nazionale","CAVALCAVIA","","","","",,"","","","",""
539,"STRADA ANTICA","STRADA ANTICA","","STRADA ANTICA","Nazionale","STRADA VECCHIA","","","","",,"","","","",""
546,"STRADA COMUNALE","STRADA COMUNALE","","STRADA COMUNALE","Nazionale","STRADA","","","","",,"","","","",""
561,"STRADA NUOVA","STRADA NUOVA","","STRADA NUOVA","Nazionale","","","","","",,"","","","",""
562,"STRADA PANORAMICA","STRADA PANORAMICA","","STRADA PANORAMICA","Nazionale","STRADA","","","","",,"","","","",""
565,"STRADA PRIVATA","STRADA PRIVATA","","STRADA PRIVATA","Nazionale","VIA PRIVATA","","","","",,"","","","",""
566,"STRADA PROVINCIALE","STRADA PROVINCIALE","","STRADA PROVINCIALE","Nazionale","","","","","",,"","","","",""
897,"STRADA REGIONALE","STRADA REGIONALE","","STRADA REGIONALE","Nazionale","","","","","",,"","","","",""
571,"STRADA STATALE","STRADA STATALE","","STRADA STATALE","Nazionale","","","","","",,"","","","",""
578,"STRADA VECCHIA","STRADA VECCHIA","","STRADA VECCHIA","Nazionale","STRADA ANTICA","","","","",,"","","","",""
214,"STRADELLA","STRADELLA","","STRADELLA","Nazionale","STRADELLO","","","","",,"","","","",""
721,"STRADELLO","STRADELLO","","STRADELLO","Nazionale","STRADELLA","","","","",,"","","","",""
216,"STRADONE","STRADONE","","STRADONE","Nazionale","","","","","",,"","","","",""
589,"TANGENZIALE","TANGENZIALE","","TANGENZIALE","Nazionale","CIRCONVALLAZIONE","RACCORDO","","","",,"","","","",""
224,"TRAVERSA","TRAVERSA","","TRAVERSA","Nazionale","","","","","",,"","","","",""
603,"TRAVERSA PRIVATA","TRAVERSA PRIVATA","","TRAVERSA PRIVATA","Nazionale","","","","","",,"","","","",""
610,"VIA ANTICA","VIA ANTICA","","VIA ANTICA","Nazionale","VIA VECCHIA","","","","",,"","","","",""
635,"VIA NUOVA","VIA NUOVA","","VIA NUOVA","Nazionale","","","","","",,"","","","",""
636,"VIA PANORAMICA","VIA PANORAMICA","","VIA PANORAMICA","Nazionale","VIA","","","","",,"","","","",""
639,"VIA PRIVATA","VIA PRIVATA","","VIA PRIVATA","Nazionale","STRADA PRIVATA","","","","",,"","","","",""
652,"VIA VECCHIA","VIA VECCHIA","","VIA VECCHIA","Nazionale","VIA ANTICA","","","","",,"","","","",""
240,"VIALE","VIALE","","VIALE","Nazionale","","","","","",,"","","","",""
242,"VIALETTO","VIALETTO","","VIALETTO","Nazionale","","","","","",,"","","","",""
244,"VICO","VICO","","VICO","Nazionale","VICOLO","","","","",,"","","","",""
667,"VICO PRIVATO","VICO PRIVATO","","VICO PRIVATO","Nazionale","VICOLO PRIVATO","","","","",,"","","","",""
246,"VICOLETTO","VICOLETTO","","VICOLETTO","Nazionale","","","","","",,"","","","",""
248,"VICOLO","VICOLO","","VICOLO","Nazionale","VICO","","","","",,"","","","",""
690,"VICOLO PRIVATO","VICOLO PRIVATO","","VICOLO PRIVATO","Nazionale","VICO PRIVATO","","","","",,"","","","",""
252,"VIOTTOLO","VIOTTOLO","","VIOTTOLO","Nazionale","SENTIERO","","","","",,"","","","",""
218,"SUPPORTICO","","SUPPORTICO","SUPPORTICO","Locale","","","","","",3,"TRAMUTOLA (76088)","TRAMUTOLA","076088","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/076088-(1861-03-17)","​076088-(1861-03-17)"
590,"TERRAZZA","","TERRAZZA","TERRAZZA","Locale","","","","","",1,"FIRENZE (48017)","FIRENZE","048017","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/048017-(1861-03-17)","​048017-(1861-03-17)"
590,"TERRAZZA","","TERRAZZA","TERRAZZA","Locale","","","","","",2,"CAGLIARI (92009)","CAGLIARI","092009","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/092009-(1991-12-10)","​092009-(1991-12-10)"
590,"TERRAZZA","","TERRAZZA","TERRAZZA","Locale","","","","","",3,"VIAREGGIO (46033)","VIAREGGIO","046033","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/046033-(1861-03-17)","​046033-(1861-03-17)"
590,"TERRAZZA","","TERRAZZA","TERRAZZA","Locale","","","","","",4,"SAN CASCIANO IN VAL DI PESA (48038)","SAN CASCIANO IN VAL DI PESA","048038","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/048038-(1861-03-17)","​048038-(1861-03-17)"
597,"TRATTURO","","TRATTURO","TRATTURO","Locale","","","","","",1,"BISCEGLIE (110003)","BISCEGLIE","110003","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/110003-(2009-07-27)","​110003-(2009-07-27)"
597,"TRATTURO","","TRATTURO","TRATTURO","Locale","","","","","",2,"FOGGIA (71024)","FOGGIA","071024","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/071024-(1861-03-17)","​071024-(1861-03-17)"
597,"TRATTURO","","TRATTURO","TRATTURO","Locale","","","","","",3,"ROCCASECCA DEI VOLSCI (59023)","ROCCASECCA DEI VOLSCI","059023","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/059023-(1947-07-20)","​059023-(1947-07-20)"
143,"TRAZZERA","","TRAZZERA","TRAZZERA","Locale","","","","","",1,"MONREALE (82049)","","082049","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/082049-(1861-03-17)","​082049-(1861-03-17)"
232,"VALLONE","","VALLONE","VALLONE","Locale","","","","","",1,"BARCELLONA POZZO DI GOTTO (83005)","BARCELLONA POZZO DI GOTTO","083005","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/083005-(1861-03-17)","​083005-(1861-03-17)"
235,"VENULA","","VENULA","VENULA","Locale","","","","","",1,"ERICE (81008)","ERICE","081008","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/081008-(1861-03-17)","​081008-(1861-03-17)"
624,"VIA ESTERNA","","VIA ESTERNA","VIA ESTERNA","Locale","","","","","",1,"MONREALE (82049)","MONREALE","082049","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/082049-(1861-03-17)","​082049-(1861-03-17)"
624,"VIA ESTERNA","","VIA ESTERNA","VIA ESTERNA","Locale","","","","","",2,"CASTRIGNANO DEL CAPO (75019)","CASTRIGNANO DEL CAPO","075019","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/075019-(1861-03-17)","​075019-(1861-03-17)"
645,"VIA STATALE","","VIA STATALE","VIA STATALE","Locale","","","","","",1,"BARCELLONA POZZO DI GOTTO (83005)","BARCELLONA POZZO DI GOTTO","083005","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/083005-(1861-03-17)","​083005-(1861-03-17)"
653,"VIA VICINALE","","VIA VICINALE","VIA VICINALE","Locale","","","","","",1,"CALENZANO (48005)","CALENZANO","048005","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/048005-(1861-03-17)","​048005-(1861-03-17)"
653,"VIA VICINALE","","VIA VICINALE","VIA VICINALE","Locale","","","","","",2,"PISA (50026)","PISA","050026","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/050026-(1861-03-17)","​050026-(1861-03-17)"
653,"VIA VICINALE","","VIA VICINALE","VIA VICINALE","Locale","","","","","",3,"MOROLO (60045)","MOROLO","060045","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/060045-(1927-01-12)","​060045-(1927-01-12)"
653,"VIA VICINALE","","VIA VICINALE","VIA VICINALE","Locale","","","","","",4,"LAPIO (64042)","LAPIO","064042","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/064042-(1861-03-17)","​064042-(1861-03-17)"
653,"VIA VICINALE","","VIA VICINALE","VIA VICINALE","Locale","","","","","",5,"CASAPROTA (57011)","CASAPROTA","057011","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/057011-(1927-01-12)","​057011-(1927-01-12)"
653,"VIA VICINALE","","VIA VICINALE","VIA VICINALE","Locale","","","","","",6,"CESENA (40007)","CESENA","040007","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/040007-(1861-03-17)","​040007-(1861-03-17)"
653,"VIA VICINALE","","VIA VICINALE","VIA VICINALE","Locale","","","","","",7,"BARANO D'ISCHIA (63007)","BARANO D'ISCHIA","063007","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/063007-(1861-03-17)","​063007-(1861-03-17)"
653,"VIA VICINALE","","VIA VICINALE","VIA VICINALE","Locale","","","","","",8,"BIBBONA (49001)","BIBBONA","049001","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/049001-(1925-12-11)","​049001-(1925-12-11)"
653,"VIA VICINALE","","VIA VICINALE","VIA VICINALE","Locale","","","","","",9,"RUSSI (39016)","RUSSI","039016","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/039016-(1861-03-17)","​039016-(1861-03-17)"
653,"VIA VICINALE","","VIA VICINALE","VIA VICINALE","Locale","","","","","",10,"CUTROFIANO (75026)","CUTROFIANO","075026","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/075026-(1861-03-17)","​075026-(1861-03-17)"
653,"VIA VICINALE","","VIA VICINALE","VIA VICINALE","Locale","","","","","",11,"RADDA IN CHIANTI (52023)","RADDA IN CHIANTI","052023","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/052023-(1861-03-17)","​052023-(1861-03-17)"
653,"VIA VICINALE","","VIA VICINALE","VIA VICINALE","Locale","","","","","",12,"CARSOLI (66025)","CARSOLI","066025","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/066025-(1861-03-17)","​066025-(1861-03-17)"
653,"VIA VICINALE","","VIA VICINALE","VIA VICINALE","Locale","","","","","",13,"SAN GIULIANO TERME (50031)","SAN GIULIANO TERME","050031","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/050031-(1861-03-17)","​050031-(1861-03-17)"
653,"VIA VICINALE","","VIA VICINALE","VIA VICINALE","Locale","","","","","",14,"MACUGNAGA (103039)","MACUGNAGA","103039","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/103039-(1995-01-01)","​103039-(1995-01-01)"
238,"VIADOTTO","","VIADOTTO","VIADOTTO","Locale","","","","","",1,"CESENA (40007)","CESENA","040007","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/040007-(1861-03-17)","​040007-(1861-03-17)"
238,"VIADOTTO","","VIADOTTO","VIADOTTO","Locale","","","","","",2,"CUNEO (4078)","CUNEO","004078","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/004078-(1861-03-17)","​004078-(1861-03-17)"
238,"VIADOTTO","","VIADOTTO","VIADOTTO","Locale","","","","","",3,"GORIZIA (31007)","GORIZIA","031007","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/031007-(1927-01-12)","​031007-(1927-01-12)"
238,"VIADOTTO","","VIADOTTO","VIADOTTO","Locale","","","","","",4,"FIRENZE (48017)","FIRENZE","048017","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/048017-(1861-03-17)","​048017-(1861-03-17)"
238,"VIADOTTO","","VIADOTTO","VIADOTTO","Locale","","","","","",5,"TOLENTINO (43053)","TOLENTINO","043053","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/043053-(1861-03-17)","​043053-(1861-03-17)"
