DATA_INIZIO_AMMINISTRATIVA,DATA_FINE_AMMINISTRATIVA,COD_CATASTO,PRO_COM,PRO_COM_T,COMUNE,COMUNE_IT,COMUNE_A,COD_DEN_STORICO,COD_UTS,ID_UTS_TIPO,DESC_UTS_TIPO,COD_REG,SIGLA_UTS,COD_RIP
15-08-1973,31-12-9999,D731,21032,021032,Fortezza/Franzensfeste,FORTEZZA,FRANZENSFESTE,,021,2,Provincia autonoma,04,BZ,2
16-10-1920,14-02-1923,D820,802191,802191,Fundoles/Pfunders,FUNDOLES,PFUNDERS,021543,802,1,Provincia,00,TN,2
14-02-1923,27-04-1923,D820,22999,022999,Fundoles/Pfunders,FUNDOLES,PFUNDERS,021543,022,1,Provincia,00,TN,2
27-04-1923,12-01-1927,D820,22999,022999,Fundres/Pfunders,FUNDRES,PFUNDERS,,022,1,Provincia,00,TN,2
12-01-1927,24-03-1929,D820,21829,021829,Fundres/Pfunders,FUNDRES,PFUNDERS,,021,1,Provincia,00,BZ,2
24-03-1929,24-03-1929,D820,21829,021829,Fundres/Pfunders,FUNDRES,PFUNDERS,,021,1,Provincia,00,BZ,2
16-10-1920,14-02-1923,D821,802192,802192,Funes/Villnöß,FUNES,VILLNÖß,,802,1,Provincia,00,TN,2
14-02-1923,12-01-1927,D821,22400,022400,Funes/Villnöß,FUNES,VILLNÖß,,022,1,Provincia,00,TN,2
12-01-1927,11-04-1929,D821,21033,021033,Funes/Villnöß,FUNES,VILLNÖß,,021,1,Provincia,00,BZ,2
11-04-1929,01-01-1948,D821,21033,021033,Funes/Villnöß,FUNES,VILLNÖß,,021,1,Provincia,00,BZ,2
01-01-1948,05-12-1972,D821,21033,021033,Funes/Villnöß,FUNES,VILLNÖß,,021,1,Provincia,04,BZ,2
05-12-1972,31-12-9999,D821,21033,021033,Funes/Villnöß,FUNES,VILLNÖß,,021,2,Provincia autonoma,04,BZ,2
16-10-1920,14-02-1923,D860,802193,802193,Gais/Gais,GAIS,GAIS,,802,1,Provincia,00,TN,2
14-02-1923,12-01-1927,D860,22401,022401,Gais/Gais,GAIS,GAIS,,022,1,Provincia,00,TN,2
12-01-1927,29-05-1928,D860,21034,021034,Gais/Gais,GAIS,GAIS,,021,1,Provincia,00,BZ,2
29-05-1928,01-01-1948,D860,21034,021034,Gais/Gais,GAIS,GAIS,,021,1,Provincia,00,BZ,2
29-05-1928,01-01-1948,D860,21034,021034,Gais/Gais,GAIS,GAIS,,021,1,Provincia,00,BZ,2
29-05-1928,01-01-1948,D860,21034,021034,Gais/Gais,GAIS,GAIS,,021,1,Provincia,00,BZ,2
01-01-1948,05-12-1972,D860,21034,021034,Gais/Gais,GAIS,GAIS,,021,1,Provincia,04,BZ,2
05-12-1972,31-12-9999,D860,21034,021034,Gais/Gais,GAIS,GAIS,,021,2,Provincia autonoma,04,BZ,2
16-10-1920,14-02-1923,D923,802195,802195,Gargazzone/Gargazon,GARGAZZONE,GARGAZON,,802,1,Provincia,00,TN,2
14-02-1923,12-01-1927,D923,22402,022402,Gargazzone/Gargazon,GARGAZZONE,GARGAZON,,022,1,Provincia,00,TN,2
12-01-1927,01-01-1948,D923,21035,021035,Gargazzone/Gargazon,GARGAZZONE,GARGAZON,,021,1,Provincia,00,BZ,2
12-01-1927,30-12-1928,H858,21079,021079,San Genesio/Jenesien,SAN GENESIO,JENESIEN,021525,021,1,Provincia,00,BZ,2
30-12-1928,01-01-1948,H858,21079,021079,San Genesio Atesino/Jenesien,SAN GENESIO ATESINO,JENESIEN,,021,1,Provincia,00,BZ,2
30-12-1928,01-01-1948,H858,21079,021079,San Genesio Atesino/Jenesien,SAN GENESIO ATESINO,JENESIEN,,021,1,Provincia,00,BZ,2
01-01-1948,05-12-1972,H858,21079,021079,San Genesio Atesino/Jenesien,SAN GENESIO ATESINO,JENESIEN,,021,1,Provincia,04,BZ,2
05-12-1972,31-12-9999,H858,21079,021079,San Genesio Atesino/Jenesien,SAN GENESIO ATESINO,JENESIEN,,021,2,Provincia autonoma,04,BZ,2
16-10-1920,14-02-1923,H866,802421,802421,San Giacomo in Valle Aurina/St. Jakob in Ahrn,SAN GIACOMO IN VALLE AURINA,ST. JAKOB IN AHRN,021564,802,1,Provincia,00,TN,2
14-02-1923,27-04-1923,H866,22490,022490,San Giacomo in Valle Aurina/St. Jakob in Ahrn,SAN GIACOMO IN VALLE AURINA,ST. JAKOB IN AHRN,021564,022,1,Provincia,00,TN,2
27-04-1923,12-01-1927,H866,22490,022490,San Giacomo/St. Jakob in Ahrn,SAN GIACOMO,ST. JAKOB IN AHRN,,022,1,Provincia,00,TN,2
12-01-1927,21-02-1929,H866,21881,021881,San Giacomo/St. Jakob in Ahrn,SAN GIACOMO,ST. JAKOB IN AHRN,,021,1,Provincia,00,BZ,2
21-02-1929,21-02-1929,H866,21881,021881,San Giacomo/St. Jakob in Ahrn,SAN GIACOMO,ST. JAKOB IN AHRN,,021,1,Provincia,00,BZ,2
16-10-1920,14-02-1923,H879,802423,802423,San Giorgio in Val Tures/St. Georgen,SAN GIORGIO IN VAL TURES,ST. GEORGEN,021565,802,1,Provincia,00,TN,2
14-02-1923,27-04-1923,H879,22491,022491,San Giorgio in Val Tures/St. Georgen,SAN GIORGIO IN VAL TURES,ST. GEORGEN,021565,022,1,Provincia,00,TN,2
27-04-1923,12-01-1927,H879,22491,022491,San Giorgio/St. Georgen,SAN GIORGIO,ST. GEORGEN,,022,1,Provincia,00,TN,2
12-01-1927,04-04-1928,H879,21882,021882,San Giorgio/St. Georgen,SAN GIORGIO,ST. GEORGEN,,021,1,Provincia,00,BZ,2
04-04-1928,04-04-1928,H879,21882,021882,San Giorgio/St. Georgen,SAN GIORGIO,ST. GEORGEN,,021,1,Provincia,00,BZ,2
16-10-1920,14-02-1923,H902,802424,802424,San Giovanni in Valle Aurina/St. Johann in Ahrn,SAN GIOVANNI IN VALLE AURINA,ST. JOHANN IN AHRN,021566,802,1,Provincia,00,TN,2
14-02-1923,27-04-1923,H902,22492,022492,San Giovanni in Valle Aurina/St. Johann in Ahrn,SAN GIOVANNI IN VALLE AURINA,ST. JOHANN IN AHRN,021566,022,1,Provincia,00,TN,2
27-04-1923,12-01-1927,H902,22492,022492,San Giovanni/St. Johann in Ahrn,SAN GIOVANNI,ST. JOHANN IN AHRN,,022,1,Provincia,00,TN,2
12-01-1927,21-02-1929,H902,21883,021883,San Giovanni/St. Johann in Ahrn,SAN GIOVANNI,ST. JOHANN IN AHRN,,021,1,Provincia,00,BZ,2
21-02-1929,21-02-1929,H902,21883,021883,San Giovanni/St. Johann in Ahrn,SAN GIOVANNI,ST. JOHANN IN AHRN,,021,1,Provincia,00,BZ,2
16-10-1920,14-02-1923,H950,802425,802425,San Leonardo in Passiria/St. Leonhard,SAN LEONARDO IN PASSIRIA,ST. LEONHARD,021567,802,1,Provincia,00,TN,2
14-02-1923,27-04-1923,H950,22493,022493,San Leonardo in Passiria/St. Leonhard,SAN LEONARDO IN PASSIRIA,ST. LEONHARD,021567,022,1,Provincia,00,TN,2
27-04-1923,12-01-1927,H950,22493,022493,San Leonardo/St. Leonhard,SAN LEONARDO,ST. LEONHARD,,022,1,Provincia,00,TN,2
12-01-1927,07-04-1928,H950,21884,021884,San Leonardo/St. Leonhard,SAN LEONARDO,ST. LEONHARD,,021,1,Provincia,00,BZ,2
07-04-1928,07-04-1928,H950,21884,021884,San Leonardo/St. Leonhard,SAN LEONARDO,ST. LEONHARD,,021,1,Provincia,00,BZ,2
16-10-1920,14-02-1923,H956,802426,802426,San Lorenzo in Pusteria/St. Lorenzen,SAN LORENZO IN PUSTERIA,ST. LORENZEN,021526,802,1,Provincia,00,TN,2
14-02-1923,27-04-1923,H956,22494,022494,San Lorenzo in Pusteria/St. Lorenzen,SAN LORENZO IN PUSTERIA,ST. LORENZEN,021526,022,1,Provincia,00,TN,2
27-04-1923,12-01-1927,H956,22494,022494,San Lorenzo/St. Lorenzen,SAN LORENZO,ST. LORENZEN,021527,022,1,Provincia,00,TN,2
12-01-1927,04-04-1928,H956,21081,021081,San Lorenzo/St. Lorenzen,SAN LORENZO,ST. LORENZEN,021527,021,1,Provincia,00,BZ,2
04-04-1928,28-10-1928,H956,21081,021081,San Lorenzo/St. Lorenzen,SAN LORENZO,ST. LORENZEN,021527,021,1,Provincia,00,BZ,2
28-10-1928,14-12-1928,H956,21081,021081,San Lorenzo in Pusteria/St. Lorenzen,SAN LORENZO IN PUSTERIA,ST. LORENZEN,021526,021,1,Provincia,00,BZ,2
