Livello;Livello Label;CODICE_ORIGINALE;CODICE_CHIAVE;LABEL;CODICE_PADRE
4;Categoria;7;5_11_71_7;ISTRUZIONE E FORMAZIONE PROFESSIONALE PRESSO GLI IPS (IeFP);5_11_71
4;Categoria;8;5_11_71_8;ISTRUZIONE E FORMAZIONE PROFESSIONALE PRESSO CENTRI ACCREDITATI PER IL DIPLOMA PROFESSIONALE (IeFP);5_11_71
4;Categoria;9;5_11_71_9;FORMAZIONE PER LA CREAZIONE D'IMPRESA;5_11_71
4;Categoria;10;5_11_71_10;FORMAZIONE PER OCCUPATI (O FORMAZIONE CONTINUA);5_11_71
4;Categoria;11;5_11_71_11;FORMAZIONE PER RICERCATORI;5_11_71
4;Categoria;12;5_11_71_12;ISTRUZIONE E FORMAZIONE PROFESSIONALE PRESSO GLI IPS PER IL DIPLOMA PROFESSIONALE (IeFP);5_11_71
4;Categoria;13;5_11_71_13;FORMAZIONE NELL'AMBITO DELL'APPRENDISTATO ALL'INTERNO DELL'OBBLIGO FORMATIVO (PER QUALIFICA E DIPLOMA PROFESSIONALE);5_11_71
4;Categoria;14;5_11_71_14;PERCORSI SCOLASTICI FORMATIVI ALL'INTERNO DELL'OBBLIGO FORMATIVO;5_11_71
4;Categoria;15;5_11_71_15;ALTRA FORMAZIONE ALL'INTERNO DELL'OBBLIGO FORMATIVO;5_11_71
4;Categoria;16;5_11_71_16;IFTS (ISTRUZIONE E FORMAZIONE TECNICA SUPERIORE) - AZIONI DI SISTEMA E INTERVENTI QUALIFICANTI;5_11_71
4;Categoria;17;5_11_71_17;ALTA FORMAZIONE ITS;5_11_71
4;Categoria;18;5_11_71_18;INTERVENTI INTEGRATI DI FORMAZIONE PER PERSONE VULNERABILI;5_11_71
4;Categoria;19;5_11_71_19;FORMAZIONE NELL'AMBITO DELL'APPRENDISTATO DI ALTA FORMAZIONE E RICERCA;5_11_71
4;Categoria;20;5_11_71_20;FORMAZIONE FINALIZZATA AL REINSERIMENTO LAVORATIVO;5_11_71
4;Categoria;71;5_11_71_71;ALTA FORMAZIONE NELL'AMBITO DEI CICLI UNIVERSITARI;5_11_71
4;Categoria;72;5_11_71_72;ALTA FORMAZIONE POST CICLO UNIVERSITARIO;5_11_71
4;Categoria;81;5_11_71_81;FORMAZIONE PERMANENTE AGGIORNAMENTO CULTURALE;5_11_71
4;Categoria;82;5_11_71_82;FORMAZIONE PERMANENTE AGGIORNAMENTO PROFESSIONALE E TECNICO;5_11_71
4;Categoria;708;5_11_71_708;FORMAZIONE CONGIUNTA DI FORMATORI, DOCENTI, TUTOR AZIENDALI E PERSONALE UNIVERSITÀ;5_11_71
4;Categoria;709;5_11_71_709;FORMAZIONE PROFESSIONALE IN AGRICOLTURA E NEL SETTORE FORESTALE;5_11_71
4;Categoria;710;5_11_71_710;FORMAZIONE PROFESSIONALE NEL SETTORE DELLA PESCA E DELL'ACQUACOLTURA;5_11_71
4;Categoria;999;5_11_71_999;ALTRE ATTIVITA' DI POTENZIAMENTO DELL'ISTRUZIONE E DELLA FORMAZIONE PROFESSIONALE;5_11_71
4;Categoria;1;5_11_72_1;TIROCINI, STAGE E MOBILITA' INTERNAZIONALE;5_11_72
4;Categoria;2;5_11_72_2;PIANI D'INSERIMENTO PROFESSIONALE;5_11_72
4;Categoria;3;5_11_72_3;BORSE DI LAVORO;5_11_72
4;Categoria;4;5_11_72_4;LAVORI DI PUBBLICA UTILITA' / LAVORI SOCIALMENTE UTILI;5_11_72
4;Categoria;5;5_11_72_5;ALTRE FORME;5_11_72
4;Categoria;6;5_11_72_6;SERVIZIO CIVILE;5_11_72
4;Categoria;7;5_11_72_7;ATTIVITA' DIMOSTRATIVE E AZIONE DI INFORMAZIONE IN AGRICOLTURA E NEL SETTORE FORESTALE;5_11_72
4;Categoria;8;5_11_72_8;SCAMBI INTERAZIENDALI E VISITE PRESSO AZIENDE AGRICOLE E FORESTALI;5_11_72
4;Categoria;11;5_11_72_11;PERCORSI FORMATIVI INTEGRATI PER L'INSERIMENTO LAVORATIVO;5_11_72
4;Categoria;12;5_11_72_12;PERCORSI FORMATIVI INTEGRATI PER LA CREAZIONE DI IMPRESA;5_11_72
4;Categoria;156;5_6_40_156;CENTRI DI RICERCA;5_6_40
4;Categoria;157;5_6_40_157;LABORATORI ATTREZZATI PER LA RICERCA;5_6_40
4;Categoria;999;5_6_40_999;ALTRE OPERE ED INFRASTRUTTURE PER LA RICERCA;5_6_40
4;Categoria;171;5_7_17_171;IMPIANTI RADIOELETTRICI (ANTENNE E TRASMETTITORI);5_7_17
4;Categoria;172;5_7_17_172;CAVIDOTTI, ALTRE OPERE CIVILI DI CABLAGGIO  E CENTRALINE;5_7_17
4;Categoria;173;5_7_17_173;POSA CAVI IN DOTTI GIÀ ESISTENTI;5_7_17
4;Categoria;174;5_7_17_174;CABLAGGIO INTERNO AD EDIFICI E DI RETI LOCALI;5_7_17
4;Categoria;175;5_7_17_175;IMPIANTI WIRELESS;5_7_17
4;Categoria;176;5_7_17_176;SISTEMI ED IMPIANTI DI CONTROLLO E VIDEOSORVEGLIANZA;5_7_17
4;Categoria;999;5_7_17_999;ALTRE OPERE ED IMPIANTI PER TELECOMUNICAZIONE;5_7_17
4;Categoria;181;5_7_18_181;LOCALI ATTREZZATI PER CENTRI DI SERVIZIO INFORMATICI;5_7_18
4;Categoria;182;5_7_18_182;IMPIANTI ED INFRASTRUTTURE HARDWARE E SOFTWARE PER CENTRI DI SERVIZIO INFORMATICI;5_7_18
4;Categoria;999;5_7_18_999;ALTRE OPERE ED IMPIANTI PER TECNOLOGIE INFORMATICHE;5_7_18
4;Categoria;601;5_8_60_601;ESPLORAZIONE E UTILIZZAZIONE DELL'AMBIENTE TERRESTRE E MARINO;5_8_60
4;Categoria;602;5_8_60_602;INFRASTRUTTURE E PIANIFICAZIONE DEL TERRITORIO;5_8_60
4;Categoria;603;5_8_60_603;CONTROLLO E TUTELA DELL'AMBIENTE TERRESTRE E MARINO;5_8_60
4;Categoria;604;5_8_60_604;PROTEZIONE E PROMOZIONE DELLA SALUTE UMANA;5_8_60
4;Categoria;605;5_8_60_605;PRODUZIONE, DISTRIBUZIONE E USO RAZIONALE DELL'ENERGIA;5_8_60
4;Categoria;606;5_8_60_606;PRODUZIONE E TRASFERIMENTO NUOVI PRODOTTI, PRATICHE, PROCESSI E TECNOLOGIE AGRICOLE, FORESTALI, DELLA PESCA E DELL'ACQUACOLTURA;5_8_60
4;Categoria;607;5_8_60_607;PRODUZIONE E TECNOLOGIE INDUSTRIALI;5_8_60
4;Categoria;608;5_8_60_608;STRUTTURE E RELAZIONI SOCIALI;5_8_60
4;Categoria;609;5_8_60_609;ESPLORAZIONE E UTILIZZAZIONE DELLO SPAZIO;5_8_60
4;Categoria;610;5_8_60_610;ALTRE RICERCHE;5_8_60
4;Categoria;630;5_8_60_630;PRODUZIONE/PROGETTI PER LA DIVERSIFICAZIONE DELLE ATTIVITA' ;5_8_60
4;Categoria;631;5_8_60_631;AGRICOLTURA SOCIALE;5_8_60
4;Categoria;632;5_8_60_632;PROGETTI A FINALITA' AGRO-CLIMATICO-AMBIENTALE;5_8_60
4;Categoria;611;5_8_61_611;ESPLORAZIONE E UTILIZZAZIONE DELL'AMBIENTE TERRESTRE E MARINO;5_8_61
4;Categoria;612;5_8_61_612;INFRASTRUTTURE E PIANIFICAZIONE DEL TERRITORIO;5_8_61
4;Categoria;613;5_8_61_613;CONTROLLO E TUTELA DELL'AMBIENTE TERRESTRE E MARINO;5_8_61
4;Categoria;614;5_8_61_614;PROTEZIONE E PROMOZIONE DELLA SALUTE UMANA;5_8_61
4;Categoria;615;5_8_61_615;PRODUZIONE, DISTRIBUZIONE E USO RAZIONALE DELL'ENERGIA;5_8_61
4;Categoria;616;5_8_61_616;PRODUZIONE E TECNOLOGIE AGRICOLE E DELLA PESCA E ACQUACOLTURA;5_8_61
4;Categoria;617;5_8_61_617;PRODUZIONE E TECNOLOGIE INDUSTRIALI;5_8_61
4;Categoria;618;5_8_61_618;STRUTTURE E RELAZIONI SOCIALI;5_8_61
4;Categoria;619;5_8_61_619;ESPLORAZIONE E UTILIZZAZIONE DELLO SPAZIO;5_8_61
4;Categoria;620;5_8_61_620;ALTRE RICERCHE;5_8_61
4;Categoria;621;5_8_62_621;BIOTECNOLOGIE E SALUTE IN GENERE;5_8_62
4;Categoria;622;5_8_62_622;TECNOLOGIE DEI NUOVI MATERIALI;5_8_62
4;Categoria;623;5_8_62_623;TECNOLOGIE DELL'INFORMAZIONE;5_8_62
4;Categoria;624;5_8_62_624;TECNOLOGIE DELLE TELECOMUNICAZIONI;5_8_62
4;Categoria;625;5_8_62_625;TECNOLOGIE PER LA SALVAGUARDIA DELL'AMBIENTE;5_8_62
4;Categoria;626;5_8_62_626;TECNOLOGIE ENERGETICHE;5_8_62
4;Categoria;627;5_8_62_627;TECNOLOGIE AEROSPAZIALI;5_8_62
4;Categoria;628;5_8_62_628;ALTRE TECNOLOGIE MECCANICHE;5_8_62
4;Categoria;629;5_8_62_629;ALTRE TECNOLOGIE CHIMICHE;5_8_62
4;Categoria;633;5_8_62_633;SPERIMENTAZIONE SOLUZIONI INNOVATIVE E VALIDAZIONE PRODOTTI;5_8_62
4;Categoria;634;5_8_62_634;INNOVAZIONE PROCESSI E PRODOTTI;5_8_62
4;Categoria;635;5_8_62_635;INDUSTRIALIZZAZIONE RISULTATI DELLA RICERCA;5_8_62
4;Categoria;999;5_8_62_999;ALTRE AREE TECNOLOGICHE;5_8_62
4;Categoria;1;6_10_1_1;INFORMAZIONE E COMUNICAZIONE PER ATTIVITA' ISTITUZIONALI E LA TRASPARENZA DELLA PA;6_10_1
4;Categoria;2;6_10_1_2;SISTEMI DI MONITORAGGIO, PREVENZIONE RISCHI E ALLERTA PRECOCE IN CAMPO AMBIENTALE;6_10_1
4;Categoria;3;6_10_1_3;MANIFESTAZIONI ED EVENTI INFORMATIVI;6_10_1
4;Categoria;4;6_10_1_4;DISTRIBUZIONE DI AUDIOVISIVI E MATERIALE INFORMATIVO;6_10_1
4;Categoria;7;6_10_1_7;SISTEMI INFORMATIVI PER LA P.A.;6_10_1
4;Categoria;999;6_10_1_999;ALTRE INFORMAZIONI E COMUNICAZIONI;6_10_1
4;Categoria;1;6_10_2_1;SERVIZI ED APPLICAZIONI PER IL PUBBLICO;6_10_2
4;Categoria;2;6_10_2_2;SERVIZI ED APPLICAZIONI PER LE PMI;6_10_2
4;Categoria;1;6_10_3_1;AZIONI PER L'INNALZAMENTO DELLA QUALITA' DELLA VITA IN AREE URBANE;6_10_3
4;Categoria;2;6_10_3_2;AZIONI PER LA DIFFUSIONE DELLA CULTURA E DEL TURISMO;6_10_3
4;Categoria;3;6_10_3_3;SUPPORTO ALLA COSTITUZIONE DI PARTENARIATI A LIVELLO LOCALE (LEADER, CLLD, ITI, ECC.);6_10_3
4;Categoria;4;6_10_3_4;AZIONI DI INNOVAZIONE SOCIALE;6_10_3
4;Categoria;5;6_10_3_5;SEMPLIFICAZIONE PROCEDURE, STANDARD DI QUALITA' E INNOVAZIONE PA ;6_10_3
4;Categoria;6;6_10_3_6;AZIONI DI COOPERAZIONE;6_10_3
4;Categoria;7;6_10_3_7;ALTRE AZIONI INNOVATIVE;6_10_3
4;Categoria;1;6_10_30_1;POTENZIAMENTO DEI SERVIZI ALL'IMPIEGO - ACQUISIZIONE DI RISORSE;6_10_30
4;Categoria;2;6_10_30_2;COSTRUZIONE  E SPERIMENTAZIONE DI PROTOTIPI E MODELLI;6_10_30
4;Categoria;3;6_10_30_3;ORIENTAMENTO, CONSULENZA E FORMAZIONE DEL PERSONALE;6_10_30
4;Categoria;4;6_10_30_4;MESSA IN RETE DEGLI SERVIZI PER L'IMPIEGO;6_10_30
4;Categoria;5;6_10_30_5;CREAZIONE E SVILUPPO DI RETI / PARTENARIATI;6_10_30
4;Categoria;6;6_10_30_6;ATTIVITÀ PROMOZIONALE PER L'ATTRAZIONE DI PERSONE E IMPRESE;6_10_30
4;Categoria;7;6_10_30_7;CERTIFICAZIONE ED ACCREDITAMENTO OPERATORI;6_10_30
4;Categoria;8;6_10_30_8;ATTIVITA' DI MONITORAGGIO E VALUTAZIONE DEGLI SERVIZI PER L'IMPIEGO;6_10_30
4;Categoria;1;6_10_32_1;COSTRUZIONE E SPERIMENTAZIONE DI PROTOTIPI E MODELLI (COMPRESA LA VIDEO FORMAZIONE E L'E-LEARNING);6_10_32
4;Categoria;2;6_10_32_2;CERTIFICAZIONE DI QUALITA' ED ACCREDITAMENTO DI SOGGETTI ATTUATORI;6_10_32
4;Categoria;3;6_10_32_3;TRASFERIMENTO BUONE PRASSI;6_10_32
4;Categoria;4;6_10_32_4;FORMAZIONE FORMATORI E OPERATORI;6_10_32
4;Categoria;5;6_10_32_5;POTENZIAMENTO STRUTTURE DEI SOGGETTI ATTUATORI;6_10_32
4;Categoria;6;6_10_32_6;CREAZIONE E SVILUPPO DI RETI / PARTENARIATI;6_10_32
4;Categoria;7;6_10_32_7;CERTIFICAZIONE DELLE COMPETENZE E RICONOSCIMENTO DELLE QUALIFICHE;6_10_32
4;Categoria;8;6_10_32_8;SISTEMI DI VALUTAZIONE DEGLI APPRENDIMENTI;6_10_32
4;Categoria;1;6_10_33_1;COSTRUZIONE E SPERIMENTAZIONE DI PROTOTIPI E MODELLI;6_10_33
4;Categoria;2;6_10_33_2;CERTIFICAZIONE DI QUALITA' ED ACCREDITAMENTO DI SOGGETTI ATTUATORI;6_10_33
4;Categoria;3;6_10_33_3;TRASFERIMENTO BUONE PRASSI;6_10_33
4;Categoria;4;6_10_33_4;FORMAZIONE DI DOCENTI, PERSONALE DELLA SCUOLA, FORMATORI E STAFF;6_10_33
4;Categoria;5;6_10_33_5;POTENZIAMENTO STRUTTURE DEI SOGGETTI ATTUATORI;6_10_33
4;Categoria;6;6_10_33_6;CREAZIONE E SVILUPPO DI RETI / PARTENARIATI;6_10_33
4;Categoria;7;6_10_33_7;STUDI E ANALISI;6_10_33
4;Categoria;8;6_10_33_8;SISTEMI DI VALUTAZIONE DEGLI APPRENDIMENTI;6_10_33
4;Categoria;9;6_10_33_9;AUTO-VALUTAZIONE E VALUTAZIONE DELLE SCUOLE;6_10_33
4;Categoria;1;6_10_34_1;COSTRUZIONE E SPERIMENTAZIONE DI PROTOTIPI E MODELLI D'INTEGRAZIONE;6_10_34
4;Categoria;2;6_10_34_2;FORMAZIONE CONGIUNTA DI FORMATORI, DOCENTI, TUTOR AZIENDALI E PERSONALE UNIVERSITA';6_10_34
4;Categoria;3;6_10_34_3;TRASFERIMENTO BUONE PRASSI D'INTEGRAZIONE;6_10_34
4;Categoria;4;6_10_34_4;CREAZIONE E SVILUPPO DI RETI / PARTENARIATI;6_10_34
4;Categoria;1;6_10_35_1; COSTRUZIONE E SPERIMENTAZIONE DI PROTOTIPI E MODELLI;6_10_35
4;Categoria;2;6_10_35_2;CERTIFICAZIONE DI QUALITA' E ACCREDITAMENTO SOGGETTI ATTUATORI;6_10_35
4;Categoria;3;6_10_35_3;TRASFERIMENTO BUONE PRASSI;6_10_35
4;Categoria;4;6_10_35_4;ORIENTAMENTO, CONSULENZA E FORMAZIONE DEGLI OPERATORI;6_10_35
4;Categoria;5;6_10_35_5;CERTIFICAZIONE E ACCREDITAMENTO DEGLI OPERATORI;6_10_35
4;Categoria;6;6_10_35_6;CREAZIONE E SVILUPPO DI RETI/PARTENARIATI;6_10_35
4;Categoria;7;6_10_35_7;POTENZIAMENTO DELLE STRUTTURE DEI SOGGETTI ATTUATORI;6_10_35
4;Categoria;8;6_10_35_8;PROMOZIONE DELLA RESPONSABILITA' SOCIALE D'IMPRESA;6_10_35
4;Categoria;403;6_10_41_403;ASSISTENZA TECNICA ALLA PREPARAZIONE, REALIZZAZIONE, E SORVEGLIANZA E VALUTAZIONE (INCLUSA L'ASSISTENZA PER LA REDAZIONE DI PIANI E PROGRAMMI);6_10_41
4;Categoria;410;6_10_41_410;SISTEMI DI MONITORAGGIO;6_10_41
4;Categoria;411;6_10_41_411;STUDI E ANALISI;6_10_41
4;Categoria;412;6_10_41_412;ANALISI DI FATTIBILITA';6_10_41
4;Categoria;413;6_10_41_413;FORMAZIONE DEL PERSONALE  (INCLUSA L'ALFABETIZZAZIONE DIGITALE);6_10_41
4;Categoria;414;6_10_41_414;TRASFERIMENTO BUONE PRASSI;6_10_41
4;Categoria;415;6_10_41_415;ADEGUAMENTO E INNOVAZIONE DEGLI ASSETTI ORGANIZZATIVI;6_10_41
4;Categoria;416;6_10_41_416;FUNZIONAMENTO PROGRAMMI E PER LA MULTILEVEL GOVERNANCE (INCLUSA  LA CONSULTAZIONE DEL PARTENARIATO);6_10_41
4;Categoria;417;6_10_41_417;INNALZAMENTO QUALITA' DEI SERVIZI;6_10_41
4;Categoria;499;6_10_41_499;ALTRE ATTIVITA' DI CONSULENZA E ASSISTENZA TECNICA;6_10_41
4;Categoria;1;6_10_43_1;SERVIZI DI ORIENTAMENTO, ACCOGLIENZA E PRESA IN CARICO;6_10_43
4;Categoria;2;6_10_43_2;SUPPORTO/ACCOMPAGNAMENTO ALLA TRANSIZIONE SCUOLA FORMAZIONE LAVORO;6_10_43
4;Categoria;3;6_10_43_3;ORIENTAMENTO SPECIALISTICO (BILANCIO COMPETENZE);6_10_43
4;Categoria;4;6_10_43_4;AZIONI DI ACCOMPAGNAMENTO AL LAVORO;6_10_43
4;Categoria;1;6_10_92_1;ASSISTENZA A PERSONE A CARICO (INCLUSO SERVIZI PER L'INFANZIA);6_10_92
4;Categoria;2;6_10_92_2;SALUTE E SICUREZZA;6_10_92
4;Categoria;3;6_10_92_3;SERVIZI DI TRASPORTO CASA-LAVORO;6_10_92
4;Categoria;4;6_10_92_4;SERVIZI DI MENSA;6_10_92
4;Categoria;999;6_10_92_999;ALTRI SERVIZI AI DIPENDENTI DI IMPRESE PRODUTTIVE;6_10_92
4;Categoria;1;6_10_93_1;SERVIZI DI TRASPORTO ALLE PERSONE;6_10_93
4;Categoria;2;6_10_93_2;SERVIZI ASSISTENZIALI AGLI ANZIANI E ALL'INFANZIA;6_10_93
4;Categoria;3;6_10_93_3;ATTIVITA' DI SOSTEGNO CULTURALE;6_10_93
4;Categoria;4;6_10_93_4;SERVIZI SANITARI;6_10_93
4;Categoria;5;6_10_93_5;PIANI DI SVILUPPO TERRITORIALE;6_10_93
4;Categoria;999;6_10_93_999;ALTRI SERVIZI;6_10_93
4;Categoria;1;6_10_94_1;SERVIZI PER L'ACCESSO E LA PRESA IN CARICO DA PARTE DELLA RETE ASSISTENZIALE;6_10_94
4;Categoria;2;6_10_94_2;SERVIZI E MISURE PER FAVORIRE LA PERMANENZA A DOMICILIO;6_10_94
4;Categoria;3;6_10_94_3;CENTRI DIURNI E SERVIZI PER LA PRIMA INFANZIA;6_10_94
4;Categoria;4;6_10_94_4;SERVIZI TERRITORIALI A CARATTERE RESIDENZIALE PER LE FRAGILITA';6_10_94
4;Categoria;5;6_10_94_5;MISURE DI INCLUSIONE SOCIALE-SOSTEGNO AL REDDITO;6_10_94
4;Categoria;911;6_10_99_911;ASSISTENZA SOCIALE ED ALTRI SERVIZI ALLA PERSONA;6_10_99
4;Categoria;912;6_10_99_912;SERVIZI SANITARI;6_10_99
4;Categoria;999;6_10_99_999;ALTRI SERVIZI PER LA COLLETTIVITA';6_10_99
