id;prefLabel;comment;notation
705020400020009000;CHIRURGIA ORALE (NUOVO ORDINAMENTO);Area Servizi clinici - Classe Specializzazioni in odontoaitria;705.02.04.0002.0009.000
705020400020010000;CHIRURGIA PEDIATRICA (NUOVO ORDINAMENTO);Area Chirurgica - Classe Chirurgie generali e specialistiche;705.02.04.0002.0010.000
705020400020011000;CHIRURGIA PLASTICA, RICOSTRUTTIVA ED ESTETICA (NUOVO ORDINAMENTO);Area Chirurgica - Classe Chirurgie generali e specialistiche;705.02.04.0002.0011.000
705020400020012000;CHIRURGIA TORACICA (NUOVO ORDINAMENTO);Area Chirurgica - Classe Chirurgie cardio-toraco-vascolari;705.02.04.0002.0012.000
705020400020013000;CHIRURGIA VASCOLARE (NUOVO ORDINAMENTO);Area Chirurgica - Classe Chirurgie cardio-toraco-vascolari;705.02.04.0002.0013.000
705020400020014000;DERMATOLOGIA E VENEREOLOGIA (NUOVO ORDINAMENTO);Area Medica - Classe Medicina clinica generale e specialistica;705.02.04.0002.0014.000
705020400020015000;EMATOLOGIA (NUOVO ORDINAMENTO);Area Medica - Classe Medicina clinica generale e specialistica;705.02.04.0002.0015.000
705020400020016000;ENDOCRINOLOGIA E MALATTIE DEL METABOLISMO (NUOVO ORDINAMENTO);Area Medica - Classe Medicina clinica generale e specialistica;705.02.04.0002.0016.000
705020400020017000;FARMACIA OSPEDALIERA (NUOVO ORDINAMENTO);Area Servizi clinici - Classe Sanità farmaceutica;705.02.04.0002.0017.000
705020400020018000;FISICA MEDICA (NUOVO ORDINAMENTO);Area Servizi clinici - Classe Fisica sanitaria;705.02.04.0002.0018.000
705020400020019000;GERIATRIA (NUOVO ORDINAMENTO);Area Medica - Classe Medicina clinica generale e specialistica;705.02.04.0002.0019.000
705020400020020000;GINECOLOGIA ED OSTETRICIA (NUOVO ORDINAMENTO);Area Chirurgica - Classe Chirurgie generali e specialistiche;705.02.04.0002.0020.000
705020400020021000;IGIENE E MEDICINA PREVENTIVA (NUOVO ORDINAMENTO);Area Servizi clinici - Classe Sanità pubblica;705.02.04.0002.0021.000
705020400020022000;MALATTIE DELL'APPARATO CARDIOVASCOLARE (NUOVO ORDINAMENTO);Area Medica - Classe Medicina clinica generale e specialistica;705.02.04.0002.0022.000
705020400020023000;MALATTIE DELL'APPARATO DIGERENTE (NUOVO ORDINAMENTO);Area Medica - Classe Medicina clinica generale e specialistica;705.02.04.0002.0023.000
705020400020024000;MALATTIE DELL'APPARATO RESPIRATORIO (NUOVO ORDINAMENTO);Area Medica - Classe Medicina clinica generale e specialistica;705.02.04.0002.0024.000
705020400020025000;MALATTIE INFETTIVE E TROPICALI (NUOVO ORDINAMENTO);Area Medica - Classe Medicina clinica generale e specialistica;705.02.04.0002.0025.000
705020400020026000;MEDICINA AERONAUTICA E SPAZIALE (NUOVO ORDINAMENTO);Area Servizi clinici - Classe Sanità pubblica;705.02.04.0002.0026.000
705020400020027000;MEDICINA D'EMERGENZA-URGENZA (NUOVO ORDINAMENTO);Area Medica - Classe Medicina clinica generale e specialistica;705.02.04.0002.0027.000
705020400020028000;MEDICINA DEL LAVORO (NUOVO ORDINAMENTO);Area Servizi clinici - Classe Sanità pubblica;705.02.04.0002.0028.000
705020400020029000;MEDICINA DELLO SPORT E DELL'ESERCIZIO FISICO (NUOVO ORDINAMENTO);Area Medica - Classe Medicina clinica generale e specialistica;705.02.04.0002.0029.000
705020400020030000;MEDICINA DI COMUNITÀ E DELLE CURE PRIMARIE (NUOVO ORDINAMENTO);Area Medica - Classe Medicina clinica generale e specialistica;705.02.04.0002.0030.000
705020400020031000;MEDICINA E CURE PALLIATIVE (NUOVO ORDINAMENTO);Area Medica - Classe Medicina clinica generale e specialistica;705.02.04.0002.0031.000
705020400020032000;MEDICINA FISICA E RIABILITATIVA (NUOVO ORDINAMENTO);Area Servizi clinici - Classe Servizi clinici specialistici;705.02.04.0002.0032.000
705020400020033000;MEDICINA INTERNA (NUOVO ORDINAMENTO);Area Medica - Classe Medicina clinica generale e specialistica;705.02.04.0002.0033.000
705020400020034000;MEDICINA LEGALE (NUOVO ORDINAMENTO);Area Servizi clinici - Classe Sanità pubblica;705.02.04.0002.0034.000
705020400020035000;MEDICINA NUCLEARE (NUOVO ORDINAMENTO);Area Servizi clinici - Classe Diagnostica per immagini e radioterapia;705.02.04.0002.0035.000
705020400020036000;MEDICINA TERMALE (NUOVO ORDINAMENTO);Area Medica - Classe Medicina clinica generale e specialistica;705.02.04.0002.0036.000
705020400020037000;MEDICINA TROPICALE (NUOVO ORDINAMENTO);Area Medica - Classe Medicina specialistica;705.02.04.0002.0037.000
705020400020038000;NEFROLOGIA (NUOVO ORDINAMENTO);Area Medica - Classe Medicina clinica generale e specialistica;705.02.04.0002.0038.000
705020400020039000;NEUROCHIRURGIA (NUOVO ORDINAMENTO);Area Chirurgica - Classe Chirurgie del ditretto testa e collo;705.02.04.0002.0039.000
705020400020040000;NEUROFISIOPATOLOGIA (NUOVO ORDINAMENTO);Area Medica - Classe Neuroscienze e scienze cliniche del comportamento;705.02.04.0002.0040.000
705020400020041000;NEUROLOGIA (NUOVO ORDINAMENTO);Area Medica - Classe Neuroscienze e scienze cliniche del comportamento;705.02.04.0002.0041.000
705020400020042000;NEUROPSICHIATRIA INFANTILE (NUOVO ORDINAMENTO);Area Medica - Classe Neuroscienze e scienze cliniche del comportamento;705.02.04.0002.0042.000
705020400020043000;ODONTOIATRIA CLINICA GENERALE (NUOVO ORDINAMENTO);Area Servizi clinici - Classe Specializzazioni in odontoaitria;705.02.04.0002.0043.000
705020400020044000;ODONTOIATRIA PEDIATRICA (NUOVO ORDINAMENTO);Area Servizi clinici - Classe Specializzazioni in odontoaitria;705.02.04.0002.0044.000
705020400020045000;OFTALMOLOGIA (NUOVO ORDINAMENTO);Area Chirurgica - Classe Chirurgie del ditretto testa e collo;705.02.04.0002.0045.000
705020400020046000;ONCOLOGIA MEDICA (NUOVO ORDINAMENTO);Area Medica - Classe Medicina clinica generale e specialistica;705.02.04.0002.0046.000
705020400020047000;ORTOGNATODONZIA (NUOVO ORDINAMENTO);Area Servizi clinici - Classe Specializzazioni in odontoaitria;705.02.04.0002.0047.000
705020400020048000;ORTOPEDIA E TRAUMATOLOGIA (NUOVO ORDINAMENTO);Area Chirurgica - Classe Chirurgie generali e specialistiche;705.02.04.0002.0048.000
705020400020049000;OTORINOLARINGOIATRIA (NUOVO ORDINAMENTO);Area Chirurgica - Classe Chirurgie del ditretto testa e collo;705.02.04.0002.0049.000
705020400020050000;PATOLOGIA CLINICA E BIOCHIMICA CLINICA (NUOVO ORDINAMENTO);Area Servizi clinici - Classe Medicina diagnostica e di laboratorio;705.02.04.0002.0050.000
705020400020051000;PATOLOGIA CLINICA E BIOCHIMICA CLINICA (ACCESSO NON MEDICO) (NUOVO ORDINAMENTO);;705.02.04.0002.0051.000
705020400020052000;PEDIATRIA (NUOVO ORDINAMENTO);Area Medica - Classe Medicina clinica e dell'età evolutiva;705.02.04.0002.0052.000
705020400020053000;PSICHIATRIA (NUOVO ORDINAMENTO);Area Medica - Classe Neuroscienze e scienze cliniche del comportamento;705.02.04.0002.0053.000
705020400020054000;RADIODIAGNOSTICA (NUOVO ORDINAMENTO);Area Servizi clinici - Classe Diagnostica per immagini e radioterapia;705.02.04.0002.0054.000
705020400020055000;RADIOTERAPIA (NUOVO ORDINAMENTO);Area Servizi clinici - Classe Diagnostica per immagini e radioterapia;705.02.04.0002.0055.000
705020400020056000;REUMATOLOGIA (NUOVO ORDINAMENTO);Area Medica - Classe Medicina clinica generale e specialistica;705.02.04.0002.0056.000
705020400020057000;UROLOGIA (NUOVO ORDINAMENTO);Area Chirurgica - Classe Chirurgie generali e specialistiche;705.02.04.0002.0057.000
