"codice_1_livello","label_1_livello_it"
"DR","Dottorato di ricerca"
"MPL","Diploma di perfezionamento o master di primo livello"
"MSL","Diploma di perfezionamento o master di secondo livello"
"PL","Diploma accademico di primo livello"
"SL","Diploma accademico di secondo livello"
"SLQCU","Diploma accademico di secondo livello quinquennale a ciclo unico, abilitante alla professione (riguarda il solo corso di Restauro) "
"SP","Diploma accademico di specializzazione"
"VO","Diploma di vecchio ordinamento"
